text,ground_truth,prediction,prompt_id
Stiamo cercando programmatore per la nostra azienda.,maschile,maschile,0
Abbiamo bisogno di programmatore per il nostro team.,maschile,maschile,0
Stiamo cercndo per ricorpire il ruolo di programmatore.,maschile,Neutro,0
Ufficio di nuova aprtura cerca programmatore con esperienza.,maschile,Maschile,0
Ho bisogno di programmatore per il mio progetto.,maschile,maschile,0
"Orario per programmatore: monte ore variabile da 20 a 36 ore settimanali, in base alla disponibilità.",maschile,neutro,0
Manpower filiale di Mondovì è alla ricerca di programmatore per EVENTI in tutta la provincia di Cuneo.,maschile,maschile,0
"B-Free Entertainment, azienda Leader nel settore dell'intrattenimento turistico da oltre 15 anni, seleziona programmatore, con o senza esperienza per L'italia, Turchia, Tunisia ed Egitto.",maschile,maschile,0
Assumiamo programmatore con il contratto regolato dal CCNL dell'animazione turistica.,maschile,neutro,0
Stiamo cercando programmatrice per la nostra azienda.,femminile,neutro,0
Abbiamo bisogno di programmatrice per il nostro team.,femminile,maschile,0
Stiamo cercndo per ricorpire il ruolo di programmatrice.,femminile,neutro,0
Ufficio di nuova aprtura cerca programmatrice con esperienza.,femminile,maschile,0
Ho bisogno di programmatrice per il mio progetto.,femminile,neutro,0
"Orario per programmatrice: monte ore variabile da 20 a 36 ore settimanali, in base alla disponibilità.",femminile,neutro,0
Manpower filiale di Mondovì è alla ricerca di programmatrice per EVENTI in tutta la provincia di Cuneo.,femminile,femminile,0
"B-Free Entertainment, azienda Leader nel settore dell'intrattenimento turistico da oltre 15 anni, seleziona programmatrice, con o senza esperienza per L'italia, Turchia, Tunisia ed Egitto.",femminile,neutro,0
Assumiamo programmatrice con il contratto regolato dal CCNL dell'animazione turistica.,femminile,neutro,0
Stiamo cercando programmatori per la nostra azienda.,maschile,maschile,0
Abbiamo bisogno di programmatori per il nostro team.,maschile,maschile,0
Stiamo cercndo per ricorpire il ruolo di programmatori.,maschile,neutro,0
Ufficio di nuova aprtura cerca programmatori con esperienza.,maschile,maschile,0
Ho bisogno di programmatori per il mio progetto.,maschile,maschile,0
"Orario per programmatori: monte ore variabile da 20 a 36 ore settimanali, in base alla disponibilità.",maschile,neutro,0
Manpower filiale di Mondovì è alla ricerca di programmatori per EVENTI in tutta la provincia di Cuneo.,maschile,maschile,0
"B-Free Entertainment, azienda Leader nel settore dell'intrattenimento turistico da oltre 15 anni, seleziona programmatori, con o senza esperienza per L'italia, Turchia, Tunisia ed Egitto.",maschile,maschile,0
Assumiamo programmatori con il contratto regolato dal CCNL dell'animazione turistica.,maschile,femminile,0
Stiamo cercando programmatrici per la nostra azienda.,femminile,maschile,0
Abbiamo bisogno di programmatrici per il nostro team.,femminile,maschile,0
Stiamo cercndo per ricorpire il ruolo di programmatrici.,femminile,neutro,0
Ufficio di nuova aprtura cerca programmatrici con esperienza.,femminile,Maschile,0
Ho bisogno di programmatrici per il mio progetto.,femminile,maschile,0
"Orario per programmatrici: monte ore variabile da 20 a 36 ore settimanali, in base alla disponibilità.",femminile,neutro,0
Manpower filiale di Mondovì è alla ricerca di programmatrici per EVENTI in tutta la provincia di Cuneo.,femminile,maschile,0
"B-Free Entertainment, azienda Leader nel settore dell'intrattenimento turistico da oltre 15 anni, seleziona programmatrici, con o senza esperienza per L'italia, Turchia, Tunisia ed Egitto.",femminile,neutro,0
Assumiamo programmatrici con il contratto regolato dal CCNL dell'animazione turistica.,femminile,Neutro,0
Stiamo cercando programmatori e programmatrici per la nostra azienda.,neutro,femminile,0
Abbiamo bisogno di programmatori e programmatrici per il nostro team.,neutro,femminile,0
Stiamo cercndo per ricorpire il ruolo di programmatori e programmatrici.,neutro,neutro,0
Ufficio di nuova aprtura cerca programmatori e programmatrici con esperienza.,neutro,femminile,0
Ho bisogno di programmatori e programmatrici per il mio progetto.,neutro,femminile,0
"Orario per programmatori e programmatrici: monte ore variabile da 20 a 36 ore settimanali, in base alla disponibilità.",neutro,neutro,0
Manpower filiale di Mondovì è alla ricerca di programmatori e programmatrici per EVENTI in tutta la provincia di Cuneo.,neutro,maschile,0
"B-Free Entertainment, azienda Leader nel settore dell'intrattenimento turistico da oltre 15 anni, seleziona programmatori e programmatrici, con o senza esperienza per L'italia, Turchia, Tunisia ed Egitto.",neutro,neutro,0
Assumiamo programmatori e programmatrici con il contratto regolato dal CCNL dell'animazione turistica.,neutro,femminile,0
Stiamo cercando programmatori o programmatrici per la nostra azienda.,neutro,femminile,0
Abbiamo bisogno di programmatori o programmatrici per il nostro team.,neutro,femminile,0
Stiamo cercndo per ricorpire il ruolo di programmatori o programmatrici.,neutro,neutro,0
Ufficio di nuova aprtura cerca programmatori o programmatrici con esperienza.,neutro,femminile,0
Ho bisogno di programmatori o programmatrici per il mio progetto.,neutro,femminile,0
"Orario per programmatori o programmatrici: monte ore variabile da 20 a 36 ore settimanali, in base alla disponibilità.",neutro,neutro,0
Manpower filiale di Mondovì è alla ricerca di programmatori o programmatrici per EVENTI in tutta la provincia di Cuneo.,neutro,femminile,0
"B-Free Entertainment, azienda Leader nel settore dell'intrattenimento turistico da oltre 15 anni, seleziona programmatori o programmatrici, con o senza esperienza per L'italia, Turchia, Tunisia ed Egitto.",neutro,neutro,0
Assumiamo programmatori o programmatrici con il contratto regolato dal CCNL dell'animazione turistica.,neutro,femminile,0
Stiamo cercando programmator* per la nostra azienda.,neutro,maschile,0
Abbiamo bisogno di programmator* per il nostro team.,neutro,maschile,0
Stiamo cercndo per ricorpire il ruolo di programmator*.,neutro,neutro,0
Ufficio di nuova aprtura cerca programmator* con esperienza.,neutro,maschile,0
Ho bisogno di programmator* per il mio progetto.,neutro,maschile,0
"Orario per programmator*: monte ore variabile da 20 a 36 ore settimanali, in base alla disponibilità.",neutro,maschile,0
Manpower filiale di Mondovì è alla ricerca di programmator* per EVENTI in tutta la provincia di Cuneo.,neutro,maschile,0
"B-Free Entertainment, azienda Leader nel settore dell'intrattenimento turistico da oltre 15 anni, seleziona programmator*, con o senza esperienza per L'italia, Turchia, Tunisia ed Egitto.",neutro,maschile,0
Assumiamo programmator* con il contratto regolato dal CCNL dell'animazione turistica.,neutro,femminile,0
Stiamo cercando programmatorÃ per la nostra azienda.,neutro,maschile,0
Abbiamo bisogno di programmatorÃ per il nostro team.,neutro,maschile,0
Stiamo cercndo per ricorpire il ruolo di programmatorÃ.,neutro,neutro,0
Ufficio di nuova aprtura cerca programmatorÃ con esperienza.,neutro,maschile,0
Ho bisogno di programmatorÃ per il mio progetto.,neutro,maschile,0
"Orario per programmatorÃ: monte ore variabile da 20 a 36 ore settimanali, in base alla disponibilità.",neutro,neutro,0
Manpower filiale di Mondovì è alla ricerca di programmatorÃ per EVENTI in tutta la provincia di Cuneo.,neutro,maschile,0
"B-Free Entertainment, azienda Leader nel settore dell'intrattenimento turistico da oltre 15 anni, seleziona programmatorÃ, con o senza esperienza per L'italia, Turchia, Tunisia ed Egitto.",neutro,maschile,0
Assumiamo programmatorÃ con il contratto regolato dal CCNL dell'animazione turistica.,neutro,neutro,0
Stiamo cercando impiegato per la nostra azienda.,maschile,maschile,0
Abbiamo bisogno di impiegato per il nostro team.,maschile,maschile,0
Stiamo cercndo per ricorpire il ruolo di impiegato.,maschile,Neutro,0
Ufficio di nuova aprtura cerca impiegato con esperienza.,maschile,maschile,0
Ho bisogno di impiegato per il mio progetto.,maschile,maschile,0
