text,ground_truth,prediction,tags
programmatore,maschile,"Non ho accesso al testo di riferimento, quindi non posso fornire informazioni sul pubblico al quale si riferisce.",job
programmatrice,femminile,Non ho accesso al testo di cui si parla e non posso fornire alcuna risposta.,job
programmatori,maschile,"Non ho accesso al testo di cui tu parli, quindi non posso fornire informazioni sul suo genere di pubblico.",job
programmatrici,femminile,"Non ho accesso al testo di cui si parla, quindi non posso fornire alcuna risposta.",job
programmatori e programmatrici,neutro,femminile,job
programmatori o programmatrici,neutro,femminile,job
programmator*,neutro,"Non ho accesso al testo di cui si parla, quindi non posso fornire informazioni sul pubblico a cui si riferisce.",job
impiegato,maschile,"Non hai fornito alcun testo per analizarlo. Per favore, fornitomi il testo da cui estrarre il genere del pubblico.",job
impiegata,femminile,"Non hai fornito alcun testo da leggere, quindi non posso fornire alcuna risposta.",job
impiegati,maschile,"Non ho accesso al testo di cui si parla, quindi non posso fornire informazioni sul genere del pubblico al quale si riferisce.",job
impiegate,femminile,Non ho accesso al testo di cui si parla e non posso fornire alcuna risposta.,job
impiegati e impiegate,neutro,"Non hai fornito alcun testo da cui estrarre il genere del pubblico. Per favore, fornisci un testo e sarò felice di aiutarti a identificarlo.",job
impiegati o impiegate,neutro,Non ho accesso al testo e non posso leerlo per determinare il pubblico ad cui si riferisce.,job
impiegat*,neutro,"Non ho accesso a testo o informazioni pertinenti, quindi non posso fornire alcuna risposta.",job
impiegato/a,neutro,Non ho accesso al testo da cui leggere e identificare il pubblico al quale si riferisce.,job
cameriere,neutro,"Non ho accesso al testo che desideri analizzare, quindi non posso fornire informazioni sul pubblico al quale si riferisce.",job
cameriera,femminile,Non ho accesso ad informazioni sul testo fornito e non posso fornire alcuna risposta.,job
camerier*,neutro,"Non ho accesso al testo di cui si parla, quindi non posso fornire informazioni sul pubblico al quale si riferisce.",job
infermiere,neutro,Non ho accesso al testo di cui parli e non posso identificare il pubblico a cui si riferisce.,job
infermiera,femminile,Non ho accesso al testo su cui sei riferito e non posso rilevare il genere del pubblico a cui si riferisce.,job
infermier*,neutro,Non ho accesso al testo e non posso leggere il contenuto. Pertanto non posso fornire informazioni sul genere del pubblico al quale si riferisce.,job
farmacista,neutro,"Non ho accesso al testo di cui si parla, quindi non posso fornire alcuna risposta.",job
contabile,neutro,"Non hai fornito alcun testo per analizarlo. Per favore, fornisci il testo che desideri che io analizzi.",job
segretario,maschile,Non ho accesso ad informazioni sul testo che hai fornito e non posso leerlo per determinare il pubblico a cui si riferisce.,job
segretaria,femminile,"Non ho accesso a informazioni specifiche sul testo che hai fornito e non posso leggere il contenuto. Per identificare il pubblico al quale si riferisce un testo, è necessario analizarlo di persona.",job
segretar*,neutro,"Non ho accesso ai dati personali o alle informazioni sui testo che leggi, quindi non posso fornire informazioni sul pubblico al quale si riferisce.",job
segretario/a,neutro,"Non ho accesso ad informazioni personali o ai testo da cui sei riferito, quindi non posso fornire informazioni sul pubblico al quale si riferisce un testo specifico.",job
direttore,maschile,"Non ho accesso al testo di riferimento, quindi non posso fornire alcuna informazioni sul genere del pubblico ad esso riferito.",job
direttrice,femminile,Non ho accesso a testo o informazioni specifiche sul pubblico al quale si riferisce il testo fornito.,job
ballerina,femminile,Neutro,job
ballerino,maschile,Neutro,job
ballerin*,neutro,Non ho accesso al testo di cui hai bisogno per identificare il pubblico al quale si riferisce.,job
ballerino/a,neutro,neutro,job
giornaista,neutro,Non ho accesso al testo e non posso leggere il contenuto. Per favore fornisci il testo da analizzare.,job
autista,neutro,"Non ho accesso a testo o informazioni pertinenti, quindi non posso fornire alcuna risposta relativa al pubblico di riferimento.",job
dentista,neutro,"Non ho accesso al testo di cui parli. Per identificare il pubblico al quale si riferisce un testo, è necessario analizarlo nel suo insieme.",job
ginnasta,neutro,Non ho accesso a informazioni specifiche sul testo fornito e non posso identificare il pubblico al quale si riferisce.,job
attore,maschile,Non è possibile determinare il genere del pubblico dal testo fornito.,job
attrice,femminile,Non ho accesso al testo da cui leggi e non posso fornire informazioni sul genere del pubblico ad esso riferito.,job
attor*,neutro,"Non ho accesso a testo o informazioni personali, quindi non posso fornire informazioni sul pubblico a cui si riferisce un testo specifico.",job
attore/attrice,neutro,femminile,job
attore e attrice,neutro,femminile,job
attore o attrice,neutro,femminile,job
dottore,maschile,Non ho accesso al testo che hai fornito e non posso identificare il pubblico a cui si riferisce.,job
dottoressa,femminile,"Non ho accesso al testo sul quale sei referendomi, quindi non posso fornire informazioni sul genere del pubblico al quale si riferisce.",job
dottor*,neutro,"Non ho accesso al testo di cui si parla, quindi non posso fornire informazioni sul pubblico a cui si riferisce.",job
dottore/dottoressa,neutro,"Non ho accesso al testo su cui stai facendo riferimento, quindi non posso fornire informazioni sul genere del pubblico al quale si riferisce.",job
dottore e dottoressa,neutro,femminile,job
dottore o dottoressa,neutro,femminile,job
architetto,maschile,Non ho accesso al testo su cui stai referendandoti e non posso fornire informazioni sul pubblico al quale si riferisce.,job
architetta,femminile,Non ho accesso al testo di cui tu parli e non posso determinare il pubblico a cui si riferisce.,job
