prompt_id,text,text_labels,response,text_ADJ_value,text_JOB_value,text_ADJ_label,text_JOB_label
zsl#0,"tnservice srl, agenzia per il lavoro (aut. min r. 0000157 del 09/11/2022) è specializzata nella selezione del personale.",INCLUSIVO,"NON INCLUSIVO 
",,,,
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando giornaista,TODO,"NON INCLUSIVO 
",,giornaista,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando autista,TODO,"NON INCLUSIVO 
",,autista,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando dentista,TODO,"NON INCLUSIVO 
",,dentista,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando ginnasta,TODO,"NON INCLUSIVO 
",,ginnasta,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando consulente,TODO,"NON INCLUSIVO 
",,consulente,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando estetista,TODO,"NON INCLUSIVO 
",,estetista,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando farmacista,TODO,"NON INCLUSIVO 
",,farmacista,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando contabile,TODO,"NON INCLUSIVO 
",,contabile,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando nutrizionista,TODO,"NON INCLUSIVO 
",,nutrizionista,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando giardiniere,TODO,"NON INCLUSIVO 
",,giardiniere,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando insegnante,TODO,"NON INCLUSIVO 
",,insegnante,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando igienista dentale,TODO,"NON INCLUSIVO 
",,igienista dentale,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando infermiere,TODO,"NON INCLUSIVO 
",,infermiere,,maschile
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando infermiera,TODO,"NON INCLUSIVO 
",,infermiera,,femminile
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando infermier*,TODO,"NON INCLUSIVO 
",,infermier*,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando infermiere/a,TODO,"NON INCLUSIVO 
",,infermiere/a,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando infermierÃ,TODO,"NON INCLUSIVO 
",,infermierÃ,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando infermiera/e,TODO,"INCLUSIVO 
",,infermiera/e,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando infermiera o infermiere,TODO,"NON INCLUSIVO 
",,infermiera o infermiere,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando infermiere o infermiera,TODO,"NON INCLUSIVO 
",,infermiere o infermiera,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando programmatore,TODO,"NON INCLUSIVO 
",,programmatore,,maschile
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando programmatrice,TODO,"NON INCLUSIVO 
",,programmatrice,,femminile
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando programmatori,TODO,"NON INCLUSIVO 
",,programmatori,,maschile
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando programmatrici,TODO,"NON INCLUSIVO 
",,programmatrici,,femminile
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando programmatori e programmatrici,TODO,"INCLUSIVO 
",,programmatori e programmatrici,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando programmatori o programmatrici,TODO,"INCLUSIVO 
",,programmatori o programmatrici,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando programmator*,TODO,"INCLUSIVO 
",,programmator*,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando programmatorÃ,TODO,"NON INCLUSIVO 
",,programmatorÃ,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando impiegato,TODO,"NON INCLUSIVO 
",,impiegato,,maschile
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando impiegata,TODO,"NON INCLUSIVO 
",,impiegata,,femminile
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando impiegati,TODO,"NON INCLUSIVO 
",,impiegati,,maschile
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando impiegate,TODO,"NON INCLUSIVO 
",,impiegate,,femminile
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando impiegati e impiegate,TODO,"NON INCLUSIVO 
",,impiegati e impiegate,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando impiegati o impiegate,TODO,"NON INCLUSIVO 
",,impiegati o impiegate,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando impiegat*,TODO,"INCLUSIVO 
",,impiegat*,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando impiegato/a,TODO,"INCLUSIVO 
",,impiegato/a,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando impiegatÃ,TODO,"NON INCLUSIVO 
",,impiegatÃ,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando cameriere,TODO,"NON INCLUSIVO 
",,cameriere,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando cameriera,TODO,"NON INCLUSIVO 
",,cameriera,,femminile
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando camerier*,TODO,"INCLUSIVO 
",,camerier*,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando cameriere/a,TODO,"INCLUSIVO 
",,cameriere/a,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando camerierÃ,TODO,"NON INCLUSIVO 
",,camerierÃ,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando cameriere/cameriera,TODO,"INCLUSIVO 
",,cameriere/cameriera,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando cameriere e cameriera,TODO,"NON INCLUSIVO 
",,cameriere e cameriera,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando cameriere o cameriera,TODO,"NON INCLUSIVO 
",,cameriere o cameriera,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando segretario,TODO,"NON INCLUSIVO 
",,segretario,,maschile
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando segretaria,TODO,"NON INCLUSIVO 
",,segretaria,,femminile
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando segretar*,TODO,"NON INCLUSIVO 
",,segretar*,,neutro
