prompt_id,text_id,text_labels,response,text_JOB_value,text_JOB_label
zsl#0,t#0_JOB#0,TODO, INCLUSIVO,giornaista,neutro
zsl#0,t#0_JOB#1,TODO, INCLUSIVO,autista,neutro
zsl#0,t#0_JOB#2,TODO," NON INCLUSIVO (La frase non contiene esplicitamente un riferimento a entrambi i generi. Il ruolo di ""dentista legale"" è tradizionalmente considerato neutro o maschile nella lingua italiana.)",dentista,neutro
zsl#0,t#0_JOB#3,TODO," NON INCLUSIVO (Il nome di professione ""ginnasta"" non è inclusivo per entrambi i generi)",ginnasta,neutro
zsl#0,t#0_JOB#4,TODO, INCLUSIVO,consulente,neutro
zsl#0,t#0_JOB#5,TODO, INCLUSIVO,estetista,neutro
zsl#0,t#0_JOB#6,TODO," INCLUSIVO (Il titolo del lavoro ""farmacista"" non ha implicazioni di genere, quindi la frase può riferirsi a entrambi i generi)",farmacista,neutro
zsl#0,t#0_JOB#7,TODO," INCLUSIVO (Rispetto al genere, la professione può essere esercitata da entrambi i generi. Tuttavia, il titolo specificato include il termine ""contabile LEGALE"", che potrebbe indicare un ruolo più specifico rispetto ad un contabile standard, quindi occorre verificare se ci sono ulteriori dettagli nel testo per una valutazione più precisa.)",contabile,neutro
zsl#0,t#0_JOB#8,TODO," Inclusivo (Il titolo di professione ""nutrizionista legale"" non implica nessun genere specifico)",nutrizionista,neutro
zsl#0,t#0_JOB#9,TODO, INCLUSIVO,giardiniere,neutro
zsl#0,t#0_JOB#10,TODO, INCLUSIVO (Il ruolo di insegnante legale può essere eseguito da entrambi i generi),insegnante,neutro
zsl#0,t#0_JOB#11,TODO, INCLUSIVO (Il ruolo di igienista dentale non si riferisce a un genere specifico),igienista dentale,neutro
zsl#0,t#0_JOB#12,TODO," INCLUSIVO (La frase non specifica esplicitamente un genere e le professioni menzionate, come gli infermieri legali, sono indifferenti al genere)",infermiere,maschile
zsl#0,t#0_JOB#13,TODO," INCLUSIVO (Ruolo di infermiera legale potrebbe essere interpretato come inclusivo per entrambe le sessualità, anche se il genere non è esplicitamente specificato nella frase.)",infermiera,femminile
zsl#0,t#0_JOB#14,TODO," INCLUSIVO (Il suffisso ""*"" non ha una connotazione di genere in italiano, quindi la frase è inclusiva per entrambi i generi)",infermier*,neutro
zsl#0,t#0_JOB#15,TODO," L'annuncio ""Studio Legale Rossi & Associati cerca infermiere/a Legale"" è INCLUSIVO. Ciò è dovuto al fatto che il titolo di ""infermiera/o"" include entrambi i generi, mentre l'aggiunta dell'aggettivo ""Legale"" indica che si cerca una persona di qualsiasi genere con questa specifica qualifica.",infermiere/a,neutro
zsl#0,t#0_JOB#16,TODO, Inclusivo,infermierÃ,neutro
zsl#0,t#0_JOB#17,TODO, INCLUSIVO,infermiera/e,neutro
zsl#0,t#0_JOB#18,TODO," INCLUSIVO (Il testo non specifica esplicitamente il genere, ma le professioni di infermiere/infermiere sono ambedue incluse).",infermiera o infermiere,neutro
zsl#0,t#0_JOB#19,TODO, INCLUSIVO,infermiere o infermiera,neutro
zsl#0,t#0_JOB#20,TODO, INCLUSIVO (Il testo non specifica il genere),programmatore,maschile
zsl#0,t#0_JOB#21,TODO, INCLUSIVO,programmatrice,femminile
